Feature,Bad Mean,Good Mean,Bad Median,Good Median,Bad Std,Good Std,Corr,Signal
has_at_symbol,0.014287214124481619,0.0006108486724222186,0.0,0.0,0.11867271317328885,0.0247078345896523,0.09420549900260008,Weak Potential Signal
contains_at_symbol,0.014287214124481619,0.0006108486724222186,0.0,0.0,0.11867271317328885,0.0247078345896523,0.09420549900260008,Weak Potential Signal
non_standard_port,0.012187439850216102,0.0003563283922462942,0.0,0.0,0.10972242929383685,0.018873323208442625,0.09004982185215808,Weak Potential Signal
at_count,0.014724667098286934,0.0006821143508714774,0.0,0.0,0.1319571573196061,0.030093674126777215,0.08594879044105536,Weak Potential Signal
many_query_params,0.0286619188437243,0.007052756963674866,0.0,0.0,0.1668551971964989,0.08368412876421938,0.08318470684200595,Weak Potential Signal
digit_to_letter_ratio,100605.62545319145,162.98269749118413,0.04761904535147403,0.0,1141425.6495196363,39337.776738668195,0.07706300768008034,Weak Potential Signal
brand_in_registered_domain,0.023543719050202104,0.053334724710864964,0.0,0.0,0.1516232616750574,0.2247003790803063,-0.05903976837203434,Weak Potential Signal
percent_count,0.20316191009466483,0.06593856898517673,0.0,0.0,2.0098869710118588,0.7040464217369496,0.05033160584286209,Weak Potential Signal
has_percent_encoding,0.039773224378379324,0.024423766085681708,0.0,0.0,0.19542683833582394,0.15436096132507263,0.03895376083784903,Weak Potential Signal
suspicious_encoding,0.039773224378379324,0.024423766085681708,0.0,0.0,0.19542683833582394,0.15436096132507263,0.03895376083784903,Weak Potential Signal
underscore_count,0.3219391415422842,0.43322151409024273,0.0,0.0,1.3152906374131117,1.2798973572036414,-0.03607668815705524,Weak Potential Signal
path_special_character_count,4.1798806628287455,4.467612294347614,3.0,3.0,3.470649072582078,3.649159715379693,-0.033285902994315275,Weak Potential Signal
has_fragment,0.0024847328912141944,0.0004912241407395341,0.0,0.0,0.04978534602594712,0.02215816078191438,0.0271727966457788,Minimal / Redundant Signal
special_character_ratio,0.13853188120995547,0.1406430568933758,0.1346153846153846,0.1388888888888889,0.04722732887516771,0.032938277467046084,-0.024062141197015625,Minimal / Redundant Signal
path_length,28.116275000437454,26.819341505131128,20.0,22.0,29.433797143164828,22.623944529158674,0.022270628353714628,Minimal / Redundant Signal
fragment_length,0.09247755866244378,0.008508612966281153,0.0,0.0,2.883994302397025,0.9354407812445413,0.02195537737126128,Minimal / Redundant Signal
uses_https,6.124341633274424e-05,0.0,0.0,0.0,0.00782561188475791,0.0,0.006887862223734084,Minimal / Redundant Signal
